,Date,Category,Name
0,民國113年04月01日,民政,顏若芳
1,民國113年03月29日,工務,葉林傳
2,民國113年03月29日,民政,張志豪
3,民國113年03月29日,交通,林杏兒
4,民國113年03月28日,交通,張斯綱
5,民國113年03月27日,警政衛生,游淑慧
6,民國113年03月25日,交通,詹為元
7,民國113年03月25日,民政,劉耀仁
8,民國113年03月25日,教育,鍾佩玲
9,民國113年03月22日,警政衛生,游淑慧
10,民國113年03月22日,工務,徐立信
11,民國113年03月22日,財政建設,徐立信
12,民國113年03月22日,交通,鍾佩玲
13,民國113年03月22日,民政,闕枚莎
14,民國113年03月22日,交通,詹為元
15,民國113年03月22日,工務,張文潔
16,民國113年03月21日,財政建設,徐立信
17,民國113年03月20日,工務,許家蓓
18,民國113年03月20日,民政,林杏兒
19,民國113年03月19日,民政,徐立信
20,民國113年03月18日,財政建設,林世宗
21,民國113年03月18日,交通,許家蓓
22,民國113年03月15日,警政衛生,詹為元
23,民國113年03月15日,民政,許淑華
24,民國113年03月15日,財政建設,許淑華
25,民國113年03月15日,交通,徐立信
26,民國113年03月14日,交通,鍾佩玲
27,民國113年03月14日,教育,王欣儀
28,民國113年03月14日,教育,陳宥丞
29,民國113年03月14日,工務,陳怡君
30,民國113年03月14日,民政,李芳儒
31,民國113年03月14日,民政,王欣儀
32,民國113年03月14日,民政,陳宥丞
33,民國113年03月13日,民政,何孟樺
34,民國113年03月12日,民政,林杏兒
35,民國113年03月12日,民政,詹為元
36,民國113年03月12日,民政,張志豪
37,民國113年03月12日,財政建設,陳宥丞
38,民國113年03月11日,教育,林杏兒
39,民國113年03月11日,工務,陳怡君
40,民國113年03月11日,工務,詹為元
41,民國113年03月11日,教育,游淑慧
42,民國113年03月11日,交通,徐立信
43,民國113年03月08日,財政建設,何孟樺
44,民國113年03月08日,財政建設,詹為元
45,民國113年03月08日,財政建設,李明賢
46,民國113年03月08日,工務,徐立信
47,民國113年03月08日,教育,徐立信
48,民國113年03月08日,警政衛生,陳炳甫
49,民國113年03月08日,警政衛生,秦慧珠
50,民國113年03月07日,民政,張志豪
51,民國113年03月07日,民政,陳宥丞
52,民國113年03月07日,財政建設,鍾佩玲
53,民國113年03月07日,民政,林杏兒
54,民國113年03月06日,交通,詹為元
55,民國113年03月06日,教育,簡舒培
56,民國113年03月05日,教育,黃瀞瑩
57,民國113年03月05日,警政衛生,詹為元
58,民國113年03月04日,警政衛生,游淑慧
59,民國113年03月04日,工務,陳怡君
60,民國113年03月04日,交通,吳世正
61,民國113年03月04日,工務,徐立信
62,民國113年03月04日,教育,何孟樺
63,民國113年03月01日,民政,闕枚莎
64,民國113年02月29日,民政,徐立信
65,民國113年02月29日,工務,徐立信
66,民國113年02月27日,交通,徐立信
67,民國113年02月27日,工務,李傅中武
68,民國113年02月27日,民政,李傅中武
69,民國113年02月27日,交通,鍾佩玲
70,民國113年02月26日,交通,何孟樺
71,民國113年02月26日,工務,許淑華
72,民國113年02月26日,教育,張斯綱
73,民國113年02月23日,民政,王欣儀
74,民國113年02月23日,工務,吳志剛
75,民國113年02月23日,教育,王欣儀
76,民國113年02月22日,民政,詹為元
77,民國113年02月21日,警政衛生,何孟樺
78,民國113年02月21日,警政衛生,王欣儀
79,民國113年02月21日,警政衛生,張志豪
80,民國113年02月20日,教育,游淑慧
81,民國113年02月20日,財政建設,徐立信
82,民國113年02月17日,民政,何孟樺
83,民國113年02月17日,教育,何孟樺
84,民國113年02月17日,交通,陳宥丞
85,民國113年02月15日,交通,徐立信
86,民國113年02月15日,交通,詹為元
87,民國113年02月15日,交通,詹為元
88,民國113年02月15日,教育,何孟樺
89,民國113年02月15日,民政,何孟樺
90,民國113年02月06日,教育,徐立信
91,民國113年02月06日,教育,張志豪
92,民國113年02月06日,財政建設,張志豪
93,民國113年02月06日,交通,簡舒培
94,民國113年02月05日,工務,詹為元
95,民國113年02月05日,交通,詹為元
96,民國113年02月05日,民政,詹為元
97,民國113年01月31日,工務,詹為元
98,民國113年01月29日,工務,林杏兒
99,民國113年01月29日,警政衛生,游淑慧
100,民國113年01月26日,財政建設,徐立信
101,民國113年01月25日,交通,黃瀞瑩
102,民國113年01月23日,教育,徐立信
103,民國113年01月23日,教育,游淑慧
104,民國113年01月18日,民政,葉林傳
105,民國113年01月18日,工務,葉林傳
106,民國113年01月17日,財政建設,鍾佩玲
107,民國113年01月17日,交通,徐立信
108,民國113年01月17日,民政,林杏兒
109,民國113年01月15日,交通,洪健益
110,民國113年01月12日,財政建設,陳宥丞
111,民國113年01月11日,交通,李芳儒
112,民國113年01月08日,交通,詹為元
113,民國113年01月08日,工務,詹為元
114,民國113年01月08日,交通,詹為元
115,民國113年01月05日,交通,張文潔
116,民國113年01月05日,財政建設,吳志剛
117,民國113年01月05日,警政衛生,徐立信
118,民國113年01月03日,交通,鍾佩玲
119,民國113年01月02日,交通,徐立信
120,民國113年01月02日,教育,徐立信
121,民國112年12月27日,民政,李明賢
122,民國112年12月26日,工務,詹為元
123,民國112年12月26日,工務,徐立信
124,民國112年12月26日,教育,徐立信
125,民國112年12月22日,民政,詹為元
126,民國112年12月21日,教育,詹為元
127,民國112年12月21日,交通,陳宥丞
128,民國112年12月21日,民政,李明賢
129,民國112年12月21日,工務,李明賢
130,民國112年12月21日,教育,詹為元
131,民國112年12月21日,交通,詹為元
132,民國112年12月21日,交通,詹為元
133,民國112年12月19日,交通,游淑慧
134,民國112年12月19日,警政衛生,李明賢
135,民國112年12月19日,交通,李明賢
136,民國112年12月19日,警政衛生,李明賢
137,民國112年12月19日,工務,柳采葳
138,民國112年12月19日,工務,柳采葳
139,民國112年12月19日,交通,柳采葳
140,民國112年12月19日,警政衛生,柳采葳
141,民國112年12月19日,民政,柳采葳
142,民國112年12月19日,工務,柳采葳
143,民國112年12月19日,警政衛生,柳采葳
144,民國112年12月19日,教育,柳采葳
145,民國112年12月19日,教育,柳采葳
146,民國112年12月19日,財政建設,柳采葳
147,民國112年12月15日,警政衛生,林延鳳
148,民國112年12月15日,交通,游淑慧
149,民國112年12月14日,工務,許家蓓
150,民國112年12月13日,民政,顏若芳
151,民國112年12月12日,財政建設,許家蓓
152,民國112年12月12日,教育,陳宥丞
153,民國112年12月11日,教育,李明賢
154,民國112年12月11日,教育,李明賢
155,民國112年12月11日,教育,李明賢
156,民國112年12月08日,工務,陳炳甫
157,民國112年12月08日,工務,李明賢
158,民國112年12月08日,工務,李明賢
159,民國112年12月08日,工務,李明賢
160,民國112年12月08日,交通,林延鳳
161,民國112年12月07日,民政,李明賢
162,民國112年12月07日,民政,李明賢
163,民國112年12月06日,交通,詹為元
164,民國112年12月06日,交通,林杏兒
165,民國112年12月06日,工務,詹為元
166,民國112年12月06日,工務,李明賢
167,民國112年12月05日,教育,葉林傳
168,民國112年12月05日,民政,王欣儀
169,民國112年12月04日,工務,陳重文
170,民國112年12月01日,警政衛生,張志豪
171,民國112年11月30日,民政,李傅中武
172,民國112年11月30日,民政,李傅中武
173,民國112年11月30日,警政衛生,許家蓓
174,民國112年11月30日,工務,許家蓓
175,民國112年11月29日,交通,林杏兒
176,民國112年11月28日,警政衛生,游淑慧
177,民國112年11月28日,交通,李彥秀
178,民國112年11月28日,教育,詹為元
179,民國112年11月27日,交通,徐立信
